Task MBPP/251 gened 110 testcases, 55 of them is correct, pass rate is 0.5
Task MBPP/264 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/486 gened 10 testcases, 3 of them is correct, pass rate is 0.3
Task MBPP/379 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/461 gened 10 testcases, 3 of them is correct, pass rate is 0.3
Task MBPP/101 gened 10 testcases, 1 of them is correct, pass rate is 0.1
Task MBPP/274 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/125 gened 10 testcases, 2 of them is correct, pass rate is 0.2
Task MBPP/429 gened 10 testcases, 2 of them is correct, pass rate is 0.2
Task MBPP/491 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/34 gened 10 testcases, 2 of them is correct, pass rate is 0.2
Task MBPP/507 gened 10 testcases, 7 of them is correct, pass rate is 0.7
Task MBPP/484 gened 10 testcases, 3 of them is correct, pass rate is 0.3
Task MBPP/204 gened 10 testcases, 6 of them is correct, pass rate is 0.6
Task MBPP/335 gened 10 testcases, 1 of them is correct, pass rate is 0.1
Task MBPP/48 gened 10 testcases, 1 of them is correct, pass rate is 0.1
Task MBPP/71 gened 10 testcases, 5 of them is correct, pass rate is 0.5
Task MBPP/503 gened 10 testcases, 2 of them is correct, pass rate is 0.2
Task MBPP/39 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/481 gened 10 testcases, 2 of them is correct, pass rate is 0.2
Task MBPP/75 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/118 gened 10 testcases, 2 of them is correct, pass rate is 0.2
Task MBPP/423 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/55 gened 10 testcases, 1 of them is correct, pass rate is 0.1
Task MBPP/430 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/388 gened 10 testcases, 4 of them is correct, pass rate is 0.4
Task MBPP/473 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/260 gened 10 testcases, 2 of them is correct, pass rate is 0.2
Task MBPP/309 gened 10 testcases, 10 of them is correct, pass rate is 1.0
Task MBPP/95 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/93 gened 10 testcases, 5 of them is correct, pass rate is 0.5
Task MBPP/334 gened 10 testcases, 2 of them is correct, pass rate is 0.2
Task MBPP/337 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/64 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/409 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/298 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/320 gened 10 testcases, 1 of them is correct, pass rate is 0.1
Task MBPP/26 gened 10 testcases, 5 of them is correct, pass rate is 0.5
Task MBPP/323 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/66 gened 10 testcases, 5 of them is correct, pass rate is 0.5
Task MBPP/297 gened 10 testcases, 7 of them is correct, pass rate is 0.7
Task MBPP/103 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/420 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/172 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/11 gened 10 testcases, 1 of them is correct, pass rate is 0.1
Task MBPP/73 gened 10 testcases, 0 of them is correct, pass rate is 0.0
Task MBPP/154 gened 10 testcases, 0 of them is correct, pass rate is 0.0
mean pass rate is 0.19396984924623112, max pass rate is 1.0, min pass rate is 0.0, all true is 2
-----------------------filter-------------------------
 cir 0 mean pass rate is 0.2185929648241206, max pass rate is 1.0, min pass rate is 0.0, all true is 3
 cir 1 mean pass rate is 0.2185929648241206, max pass rate is 1.0, min pass rate is 0.0, all true is 3
 cir 2 mean pass rate is 0.535175879396985, max pass rate is 1.0, min pass rate is 0.0, all true is 65
 cir 3 mean pass rate is 0.5395939086294417, max pass rate is 1.0, min pass rate is 0.0, all true is 66
 cir 4 mean pass rate is 0.3678571428571429, max pass rate is 1.0, min pass rate is 0.0, all true is 13
 cir 5 mean pass rate is 0.3138461538461539, max pass rate is 1.0, min pass rate is 0.0, all true is 7
 cir 6 mean pass rate is 0.30877192982456136, max pass rate is 1.0, min pass rate is 0.0, all true is 6
 cir 7 mean pass rate is 0.30754716981132074, max pass rate is 1.0, min pass rate is 0.0, all true is 5
 cir 8 mean pass rate is 0.2823529411764706, max pass rate is 1.0, min pass rate is 0.0, all true is 3
 cir 9 mean pass rate is 0.26799999999999996, max pass rate is 1.0, min pass rate is 0.0, all true is 2
 cir 10 mean pass rate is 0.264, max pass rate is 1.0, min pass rate is 0.0, all true is 2
